type,name,hill_group,grid_ref,height
MUNRO,A' Bhuidheanach Beag,Drumochter,NN660776,3070
 MUNRO      , A' Chailleach [Fannaich region]                             , Fannaichs and Ullapool                          , NH136714 ,3270
 MUNRO      , A' Chailleach [Monadh Liath]                                , Laggan and Monadh Liath                         , NH681041 ,3051
 MUNRO      , A' Chralaig                                                 , Glen Shiel                                      , NH094148 ,3674
 MUNRO      , A' Ghlas-bheinn                                             , Glen Affric and Strathfarrar                    , NH008230 ,3011
 MUNRO      , A' Maighdean                                                , Dundonnell and Fisherfield                      , NH007749 ,3172
 MUNRO      , A' Mharconaich                                              , Drumochter                                      , NN604762 ,3198
 MUNRO      , Am Basteir                                                  , The Islands                                     , NG465253 ,3064
 MUNRO      , Am Bodach                                                   , Mamores                                         , NN176650 ,3385
 MUNRO      , Am Faochagach                                               , Fannaichs and Ullapool                          , NH303793 ,3126
 MUNRO      , An Caisteal                                                 , Crianlarich                                     , NN378193 ,3264
 MUNRO      , An Coileachan                                               , Fannaichs and Ullapool                          , NH241680 ,3028
 MUNRO      , An Gearanach                                                , Mamores                                         , NN187669 ,3221
 MUNRO      , An Riabhachan                                               , Glen Affric and Strathfarrar                    , NH133344 ,3704
 MUNRO      , An Sgarsoch                                                 , Tarf and Tilt                                   , NN933836 ,3300
 MUNRO      , An Socach [Glen Affric]                                     , Glen Affric and Strathfarrar                    , NH088230 ,3021
 MUNRO      , An Socach [Glen Ey]                                         , Cairnwell                                       , NO079799 ,3097
 MUNRO      , An Socach [Loch Mullardoch]                                 , Glen Affric and Strathfarrar                    , NH100332 ,3507
 MUNRO      , An Stuc                                                     , The Lawers                                      , NN639431 ,3667
 MUNRO      , Aonach Air Chrith                                           , Glen Shiel                                      , NH050083 ,3349
 MUNRO      , Aonach Beag [Alder region]                                  , Loch Ericht to Loch Laggan                      , NN457741 ,3661
 MUNRO      , Aonach Beag [Nevis region]                                  , Nevis Range and Grey Corries                    , NN196715 ,4048
 MUNRO      , Aonach Meadhoin                                             , Glen Shiel                                      , NH049137 ,3284
 MUNRO      , Aonach Mor                                                  , Nevis Range and Grey Corries                    , NN192729 ,4005
 MUNRO      , Beinn a' Bhuird                                             , South Cairngorms                                , NJ092006 ,3927
 MUNRO      , Beinn a' Chaorainn [Glen Derry]                             , South Cairngorms                                , NJ045013 ,3553
 MUNRO      , Beinn a' Chaorainn [Loch Laggan]                            , Laggan and Monadh Liath                         , NN386851 ,3451
 MUNRO      , Beinn a' Chlachair                                          , Loch Ericht to Loch Laggan                      , NN471781 ,3566
 MUNRO      , Beinn a' Chleibh                                            , Tyndrum                                         , NN250256 ,3005
 MUNRO      , Beinn a' Chochuill                                          , Cruachan                                        , NN109328 ,3215
 MUNRO      , Beinn a' Chreachain                                         , Bridge of Orchy                                 , NN373440 ,3546
 MUNRO      , Beinn a' Chroin                                             , Crianlarich                                     , NN394186 ,3083
 MUNRO      , Beinn Achaladair                                            , Bridge of Orchy                                 , NN344432 ,3405
 MUNRO      , Beinn an Dothaidh                                           , Bridge of Orchy                                 , NN331408 ,3293
 MUNRO      , Beinn Bheoil                                                , Loch Ericht to Loch Laggan                      , NN516717 ,3343
 MUNRO      , Beinn Bhreac                                                , South Cairngorms                                , NO058971 ,3054
 MUNRO      , Beinn Bhrotain                                              , South Cairngorms                                , NN954922 ,3795
